SERVNO,Request Date,Resolved Date,AddrType,Address,CrossStreet,GraffitiType,GraffitiMoniker,GraffitiMoniker2,GraffitiMoniker3,Latitude,Longitude
21756,04/09/2008 12:00:00 AM,04/09/2008 12:00:00 AM,I,    CHARLES ST ROCKFORD IL 61104,S PROSPECT ST ROCKFORD IL 61104,, ,,,42.2631,-89.0684
21768,04/09/2008 12:00:00 AM,04/09/2008 12:00:00 AM,I,    14TH ST ROCKFORD IL 61104,  CHARLES ST ROCKFORD IL 61104,, ,,,42.2626,-89.0666
21845,04/10/2008 12:00:00 AM,04/22/2008 12:00:00 AM,I,    7TH AVE ROCKFORD IL 61104,  16TH ST ROCKFORD IL 61104,Gang, ,,,42.2594,-89.0643
21855,04/10/2008 12:00:00 AM,04/28/2008 12:00:00 AM,I,    11TH AVE ROCKFORD IL 61104,  11TH ST ROCKFORD IL 61104,Gang, ,,,42.2552,-89.072
21934,04/11/2008 12:00:00 AM,04/24/2008 12:00:00 AM,I,    BELDEN ST ROCKFORD IL 61101,  GILBERT AVE ROCKFORD IL 61101,Gang, ,,,42.2956,-89.1112
22016,04/14/2008 12:00:00 AM,04/25/2008 12:00:00 AM,I,    MATTIS AVE ROCKFORD IL 61109,  SANER AVE ROCKFORD IL 61109,Gang, ,,,42.2312,-89.0832
22037,04/14/2008 12:00:00 AM,04/16/2008 12:00:00 AM,I,    CEDAR ST ROCKFORD IL 61102,S WINNEBAGO ST ROCKFORD IL 61102,, ,,,42.2692,-89.1011
22049,04/14/2008 12:00:00 AM,04/25/2008 12:00:00 AM,I,    CUNNINGHAM RD ROCKFORD IL 61102,S HORACE AVE ROCKFORD IL 61102,Gang, ,,,42.2656,-89.1295
22052,04/14/2008 12:00:00 AM,04/26/2008 12:00:00 AM,I,    11TH ST ROCKFORD IL 61104,  12TH AVE ROCKFORD IL 61104,Gang,LA LOCA,,,42.2542,-89.072
22094,04/15/2008 12:00:00 AM,04/16/2008 12:00:00 AM,I,    CORBIN ST ROCKFORD IL 61102,  MONTAGUE ST ROCKFORD IL 61102,, ,,,42.2594,-89.1097
22101,04/15/2008 12:00:00 AM,04/18/2008 12:00:00 AM,I,    20TH ST ROCKFORD IL 61108,  WESLEYAN AVE ROCKFORD IL 61108,Gang, ,,,42.2462,-89.0576
22202,04/16/2008 12:00:00 AM,04/26/2006 12:00:00 AM,I,    22ND ST ROCKFORD IL 61108,  WESLEYAN AVE ROCKFORD IL 61108,Unknown, ,,,42.2454,-89.0551
22228,04/16/2008 12:00:00 AM,04/16/2008 12:00:00 AM,I,    11TH ST ROCKFORD IL 61104,  WOODRUFF AVE ROCKFORD IL 61104,Hip Hop,SMOKE,,,42.2567,-89.072
22353,04/17/2008 12:00:00 AM,04/22/2008 12:00:00 AM,I,    15TH AVE ROCKFORD IL 61104,  CHRISTINA ST ROCKFORD IL 61104,Gang, ,,,42.2509,-89.0979
22443,04/18/2008 12:00:00 AM,05/05/2008 12:00:00 AM,I,    JAMES AVE ROCKFORD IL 61107,  PELHAM RD ROCKFORD IL 61107,Kids, ,,,42.283,-89.053
22444,04/18/2008 12:00:00 AM,04/29/2008 12:00:00 AM,I,    CHERRY ST ROCKFORD IL 61103,N ROCKTON AVE ROCKFORD IL 61103,Hip Hop,SEEK,,,42.277,-89.0969
22448,04/18/2008 12:00:00 AM,04/28/2008 12:00:00 AM,I,    9TH ST ROCKFORD IL 61109,  BROOKE RD ROCKFORD IL 61109,Gang, ,,,42.2303,-89.0772
22449,04/18/2008 12:00:00 AM,04/29/2008 12:00:00 AM,I,    6TH AVE ROCKFORD IL 61104,  11TH ST ROCKFORD IL 61104,, ,,,42.2605,-89.0719
22457,04/18/2008 12:00:00 AM,04/29/2008 12:00:00 AM,I,    HUFFMAN BLVD ROCKFORD IL 61103,  MIDWAY DR ROCKFORD IL 61103,Unknown, ,,,42.3049,-89.087
22458,04/18/2008 12:00:00 AM,04/22/2008 12:00:00 AM,I,    HUFFMAN BLVD ROCKFORD IL 61103,  MIDWAY DR ROCKFORD IL 61103,, ,,,42.3049,-89.087
22459,04/18/2008 12:00:00 AM,04/23/2008 12:00:00 AM,I,    HUFFMAN BLVD ROCKFORD IL 61103,  MIDWAY DR ROCKFORD IL 61103,Kids, ,,,42.3049,-89.087
22464,04/18/2008 12:00:00 AM,05/01/2008 12:00:00 AM,I,    15TH AVE ROCKFORD IL 61104,  SEMINARY ST ROCKFORD IL 61104,Gang, ,,,42.251,-89.0955
22468,04/18/2008 12:00:00 AM,04/18/2008 12:00:00 AM,I,    BROADWAY   ROCKFORD IL 61104,  NELSON BLVD ROCKFORD IL 61104,, ,,,42.2518,-89.1015
22470,04/18/2008 12:00:00 AM,04/29/2008 12:00:00 AM,I,    BALSAM LN ROCKFORD IL 61109,  WINTERGREEN DR ROCKFORD IL 61109,, ,,,42.2307,-89.045
22471,04/18/2008 12:00:00 AM,04/28/2008 12:00:00 AM,I,    BROADWAY   ROCKFORD IL 61104,  CHRISTINA ST ROCKFORD IL 61104,Gang, ,,,42.2518,-89.0979
22489,04/18/2008 12:00:00 AM,04/18/2008 12:00:00 AM,I,    14TH ST ROCKFORD IL 61104,  CHARLES ST ROCKFORD IL 61104,, ,,,42.2626,-89.0666
22490,04/18/2008 12:00:00 AM,09/18/2008 12:00:00 AM,I,    7TH AVE ROCKFORD IL 61104,  16TH ST ROCKFORD IL 61104,, ,,,42.2594,-89.0643
22566,04/21/2008 12:00:00 AM,05/01/2008 12:00:00 AM,I,  S ALPINE RD ROCKFORD IL 61108,  DAKOTA LN ROCKFORD IL 61108,Hip Hop,REK,AMER, ,42.2414,-89.0291
22672,04/22/2008 12:00:00 AM,05/05/2008 12:00:00 AM,I,    9TH ST ROCKFORD IL 61104,  21ST AVE ROCKFORD IL 61104,Hip Hop,crash,,,42.2446,-89.0771
22691,04/22/2008 12:00:00 AM,04/22/2008 12:00:00 AM,I,  N CENTRAL AVE ROCKFORD IL 61101,  FAIRVIEW AVE ROCKFORD IL 61101,Gang, ,,,42.2832,-89.1161
22693,04/22/2008 12:00:00 AM,04/22/2008 12:00:00 AM,I,    GILBERT AVE ROCKFORD IL 61101,  ROCKWELL ST ROCKFORD IL 61101,Gang, ,,,42.2956,-89.1133
22763,04/23/2008 12:00:00 AM,05/15/2008 12:00:00 AM,I,    BROOKE RD ROCKFORD IL 61109,  KISHWAUKEE ST ROCKFORD IL 61109,Gang, ,,,42.2303,-89.0869
22764,04/23/2008 12:00:00 AM,05/15/2008 12:00:00 AM,I,    FITCH RD ROCKFORD IL 61109,  SANER AVE ROCKFORD IL 61109,Gang, ,,,42.2293,-89.0832
22837,04/24/2008 12:00:00 AM,04/24/2008 12:00:00 AM,I,    BELDEN ST ROCKFORD IL 61101,  SUMMERDALE AVE ROCKFORD IL 61101,Gang, ,,,42.2988,-89.1113
22842,04/24/2008 12:00:00 AM,05/15/2008 12:00:00 AM,I,    11TH ST ROCKFORD IL 61104,  12TH AVE ROCKFORD IL 61104,Gang,LA LOCA,,,42.2542,-89.072
22917,04/24/2008 12:00:00 AM,04/24/2008 12:00:00 AM,I,    BELDEN ST ROCKFORD IL 61101,  SUNNYSIDE AVE ROCKFORD IL 61101,Unknown, ,,,42.2948,-89.1113
22949,04/25/2008 12:00:00 AM,05/01/2008 12:00:00 AM,I,    CLIFTON AVE ROCKFORD IL 61102,  MARCHESANO DR ROCKFORD IL 61102,Unknown, ,,,42.2521,-89.1102
22952,04/25/2008 12:00:00 AM,04/28/2008 12:00:00 AM,I,    ASHLAND AVE ROCKFORD IL 61101,N INDEPENDENCE AVE ROCKFORD IL 61101,Gang, ,,,42.2842,-89.1172
22954,04/25/2008 12:00:00 AM,04/28/2008 12:00:00 AM,I,    SUMMERDALE AVE ROCKFORD IL 61101,  VERMONT ST ROCKFORD IL 61101,Hip Hop,TS,,,42.2988,-89.1092
22957,04/25/2008 12:00:00 AM,05/15/2008 12:00:00 AM,I,    9TH ST ROCKFORD IL 61104,  9TH ST ROCKFORD IL 61104,Hip Hop,REK,,,42.2379,-89.0771
23105,04/28/2008 12:00:00 AM,02/16/2009 12:00:00 AM,I,    CEDAR ST ROCKFORD IL 61102,  TAY ST ROCKFORD IL 61102,Gang,INSANE,,,42.2703,-89.1098
23107,04/28/2008 12:00:00 AM,05/14/2008 12:00:00 AM,I,    CEDAR ST ROCKFORD IL 61102,  TAY ST ROCKFORD IL 61102,Gang, ,,,42.2703,-89.1098
23144,04/29/2008 12:00:00 AM,05/14/2008 12:00:00 AM,I,    BELMONT BLVD ROCKFORD IL 61103,  BELMONT CT ROCKFORD IL 61103,Gang, ,,,42.3121,-89.0901
23145,04/29/2008 12:00:00 AM,05/06/2008 12:00:00 AM,I,    1ST AVE ROCKFORD IL 61104,S 6TH ST ROCKFORD IL 61104,Hip Hop,STROKER,,,42.2658,-89.0823
23147,04/29/2008 12:00:00 AM,05/06/2008 12:00:00 AM,I,    BROOKE RD ROCKFORD IL 61109,  KISHWAUKEE ST ROCKFORD IL 61109,Hip Hop,MOF,,,42.2303,-89.0869
23230,04/30/2008 12:00:00 AM,05/14/2008 12:00:00 AM,I,    13TH ST ROCKFORD IL 61104,  17TH AVE ROCKFORD IL 61104,Gang, ,,,42.249,-89.069
23434,05/05/2008 12:00:00 AM,02/09/2009 12:00:00 AM,I,    16TH AVE ROCKFORD IL 61108,  REMINGTON RD ROCKFORD IL 61108,Hip Hop,CBD,,,42.2507,-89.0304
23439,05/05/2008 12:00:00 AM,05/09/2008 12:00:00 AM,I,  N 2ND ST ROCKFORD IL 61107,S 2ND ST ROCKFORD IL 61107,Hip Hop,STROH,,,42.2677,-89.0876
23445,05/05/2008 12:00:00 AM,05/14/2008 12:00:00 AM,I,  N ALPINE RD ROCKFORD IL 61107,  EASTRIDGE DR ROCKFORD IL 61107,Gang, ,,,42.2709,-89.0291
23524,05/06/2008 12:00:00 AM,05/14/2008 12:00:00 AM,I,    BROADWAY   ROCKFORD IL 61104,  SEMINARY ST ROCKFORD IL 61104,Gang, ,,,42.2516,-89.0951
23525,05/06/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,    15TH AVE ROCKFORD IL 61104,  SEMINARY ST ROCKFORD IL 61104,Gang, ,,,42.251,-89.0955
